,station_status,num_bikes_available,num_ebikes_available,eightd_has_available_keys,legacy_id,num_bikes_disabled,num_docks_available,is_installed,station_id,num_docks_disabled,is_renting,is_returning,last_reported,last_update
0,active,1,0,False,72,1,51,1,72,0,1,1,1670633543,2022-12-10 01:15:00.728023
1,active,27,0,False,79,3,3,1,79,0,1,1,1670634880,2022-12-10 01:15:00.728023
2,active,20,6,False,82,2,5,1,82,0,1,1,1670633733,2022-12-10 01:15:00.728023
3,active,48,6,False,83,0,11,1,83,0,1,1,1670634037,2022-12-10 01:15:00.728023
4,active,66,4,False,116,0,8,1,116,0,1,1,1670634240,2022-12-10 01:15:00.728023
5,active,47,1,False,119,0,6,1,119,0,1,1,1670632949,2022-12-10 01:15:00.728023
6,active,7,0,False,120,0,12,1,120,0,1,1,1670634821,2022-12-10 01:15:00.728023
7,active,26,4,False,127,3,1,1,127,0,1,1,1670634673,2022-12-10 01:15:00.728023
8,active,45,5,False,128,6,3,1,128,0,1,1,1670634931,2022-12-10 01:15:00.728023
9,active,28,0,False,143,0,21,1,143,0,1,1,1670634408,2022-12-10 01:15:00.728023
10,active,52,1,False,144,0,5,1,144,0,1,1,1670629988,2022-12-10 01:15:00.728023
11,active,39,0,False,146,4,10,1,146,0,1,1,1670634008,2022-12-10 01:15:00.728023
12,active,11,1,False,150,4,41,1,150,0,1,1,1670634729,2022-12-10 01:15:00.728023
13,active,27,2,False,151,2,1,1,151,0,1,1,1670634918,2022-12-10 01:15:00.728023
14,active,43,1,False,152,1,4,1,152,0,1,1,1670634401,2022-12-10 01:15:00.728023
15,active,0,0,False,153,0,62,1,153,0,1,1,1670634841,2022-12-10 01:15:00.728023
16,active,11,3,False,157,1,11,1,157,0,1,1,1670634853,2022-12-10 01:15:00.728023
17,active,24,8,False,161,3,5,1,161,0,1,1,1670634934,2022-12-10 01:15:00.728023
18,active,39,0,False,164,3,34,1,164,0,1,1,1670634929,2022-12-10 01:15:00.728023
19,active,36,4,False,168,3,29,1,168,0,1,1,1670634493,2022-12-10 01:15:00.728023
