,num_docks_available,is_returning,is_renting,num_ebikes_available,num_docks_disabled,num_bikes_available,legacy_id,num_bikes_disabled,station_id,station_status,last_reported,eightd_has_available_keys,is_installed,last_update
0,48,1,1,0,0,6,72,1,72,active,1671930151,False,1,2022-12-25 01:15:43.835963
1,14,1,1,1,0,18,79,1,79,active,1671930286,False,1,2022-12-25 01:15:43.835963
2,1,1,1,4,0,24,82,2,82,active,1671927606,False,1,2022-12-25 01:15:43.835963
3,22,1,1,1,1,39,83,0,83,active,1671931083,False,1,2022-12-25 01:15:43.835963
4,1,1,1,1,0,72,116,0,116,active,1671919773,False,1,2022-12-25 01:15:43.835963
5,2,1,1,0,0,50,119,1,119,active,1671918693,False,1,2022-12-25 01:15:43.835963
6,11,1,1,0,0,5,120,0,120,active,1671930716,False,1,2022-12-25 01:15:43.835963
7,14,1,1,2,0,16,127,1,127,active,1671930576,False,1,2022-12-25 01:15:43.835963
8,3,1,1,7,0,48,128,2,128,active,1671927516,False,1,2022-12-25 01:15:43.835963
9,29,1,1,5,0,18,143,1,143,active,1671922462,False,1,2022-12-25 01:15:43.835963
10,3,1,1,1,0,55,144,0,144,active,1671916863,False,1,2022-12-25 01:15:43.835963
11,22,1,1,1,0,31,146,2,146,active,1671924258,False,1,2022-12-25 01:15:43.835963
12,75,1,1,1,0,1,150,6,150,active,1671929293,False,1,2022-12-25 01:15:43.835963
13,2,1,1,9,0,27,151,3,151,active,1671929116,False,1,2022-12-25 01:15:43.835963
14,17,1,1,1,0,32,152,0,152,active,1671924151,False,1,2022-12-25 01:15:43.835963
15,54,1,1,4,0,8,153,0,153,active,1671917772,False,1,2022-12-25 01:15:43.835963
16,2,1,1,1,0,19,157,2,157,active,1671928676,False,1,2022-12-25 01:15:43.835963
17,5,1,1,7,0,30,161,0,161,active,1671925637,False,1,2022-12-25 01:15:43.835963
18,0,1,1,2,11,2,164,63,164,active,1671931164,False,1,2022-12-25 01:15:43.835963
19,5,1,1,21,0,60,168,2,168,active,1671930007,False,1,2022-12-25 01:15:43.835963
20,21,1,1,1,0,9,174,3,174,active,1671919164,False,1,2022-12-25 01:15:43.835963
21,18,1,1,4,0,27,195,0,195,active,1671926005,False,1,2022-12-25 01:15:43.835963
22,0,0,0,0,0,55,212,4,212,active,1671893902,False,1,2022-12-25 01:15:43.835963
23,36,1,1,0,0,1,216,0,216,active,1671923348,False,1,2022-12-25 01:15:43.835963
24,1,1,1,0,0,35,217,3,217,active,1671898036,False,1,2022-12-25 01:15:43.835963
25,7,1,1,4,0,40,223,0,223,active,1671926422,False,1,2022-12-25 01:15:43.835963
26,2,1,1,4,0,29,224,2,224,active,1671930601,False,1,2022-12-25 01:15:43.835963
27,39,1,1,3,0,37,228,2,228,active,1671921693,False,1,2022-12-25 01:15:43.835963
28,2,1,1,7,0,16,229,3,229,active,1671928417,False,1,2022-12-25 01:15:43.835963
29,40,1,1,5,0,10,232,0,232,active,1671920615,False,1,2022-12-25 01:15:43.835963
30,16,1,1,22,0,56,236,0,236,active,1671928746,False,1,2022-12-25 01:15:43.835963
31,3,1,1,3,0,23,238,3,238,active,1671930237,False,1,2022-12-25 01:15:43.835963
32,34,1,1,0,0,27,239,1,239,active,1671927500,False,1,2022-12-25 01:15:43.835963
33,20,1,1,1,0,1,241,1,241,active,1671929194,False,1,2022-12-25 01:15:43.835963
34,0,1,1,0,0,43,242,3,242,active,1671889415,False,1,2022-12-25 01:15:43.835963
35,39,1,1,1,6,3,244,1,244,active,1671926276,False,1,2022-12-25 01:15:43.835963
36,39,1,1,2,0,16,245,0,245,active,1671930941,False,1,2022-12-25 01:15:43.835963
37,12,1,1,6,0,62,247,2,247,active,1671930021,False,1,2022-12-25 01:15:43.835963
38,0,1,1,5,0,85,248,2,248,active,1671923521,False,1,2022-12-25 01:15:43.835963
39,1,1,1,3,0,25,249,1,249,active,1671928873,False,1,2022-12-25 01:15:43.835963
40,0,1,1,5,0,5,250,32,250,active,1671930877,False,1,2022-12-25 01:15:43.835963
41,1,1,1,14,0,37,251,1,251,active,1671931141,False,1,2022-12-25 01:15:43.835963
42,4,1,1,0,0,29,252,0,252,active,1671927021,False,1,2022-12-25 01:15:43.835963
43,11,1,1,2,0,34,254,2,254,active,1671920095,False,1,2022-12-25 01:15:43.835963
44,3,1,1,1,0,76,257,0,257,active,1671930348,False,1,2022-12-25 01:15:43.835963
45,19,1,1,1,0,1,258,2,258,active,1671925789,False,1,2022-12-25 01:15:43.835963
