,station_status,num_bikes_available,num_bikes_disabled,num_docks_disabled,is_returning,is_renting,legacy_id,num_ebikes_available,station_id,eightd_has_available_keys,last_reported,is_installed,num_docks_available,last_update
0,active,7,0,0,1,1,72,2,72,False,1670721533,1,47,2022-12-11 01:15:22.608583
1,active,30,3,0,1,1,79,2,79,False,1670720460,1,0,2022-12-11 01:15:22.608583
2,active,21,2,0,1,1,82,0,82,False,1670718729,1,4,2022-12-11 01:15:22.608583
3,active,41,3,0,1,1,83,2,83,False,1670721627,1,16,2022-12-11 01:15:22.608583
4,active,62,0,0,1,1,116,3,116,False,1670721519,1,12,2022-12-11 01:15:22.608583
5,active,41,0,0,1,1,119,1,119,False,1670720264,1,12,2022-12-11 01:15:22.608583
6,active,10,1,0,1,1,120,2,120,False,1670721270,1,8,2022-12-11 01:15:22.608583
7,active,25,3,0,1,1,127,6,127,False,1670721582,1,1,2022-12-11 01:15:22.608583
8,active,53,2,0,1,1,128,7,128,False,1670721963,1,1,2022-12-11 01:15:22.608583
9,active,49,0,0,1,1,143,8,143,False,1670717114,1,1,2022-12-11 01:15:22.608583
10,active,50,1,0,1,1,144,1,144,False,1670721927,1,6,2022-12-11 01:15:22.608583
11,active,48,3,0,1,1,146,2,146,False,1670721888,1,3,2022-12-11 01:15:22.608583
12,active,7,2,0,1,1,150,1,150,False,1670721903,1,46,2022-12-11 01:15:22.608583
13,active,19,3,0,1,1,151,6,151,False,1670721897,1,9,2022-12-11 01:15:22.608583
14,active,46,2,0,1,1,152,3,152,False,1670721534,1,1,2022-12-11 01:15:22.608583
15,active,0,0,0,1,1,153,0,153,False,1670718238,1,63,2022-12-11 01:15:22.608583
16,active,19,1,0,1,1,157,0,157,False,1670720927,1,3,2022-12-11 01:15:22.608583
17,active,34,1,0,1,1,161,12,161,False,1670719620,1,0,2022-12-11 01:15:22.608583
18,active,13,3,0,1,1,164,0,164,False,1670720481,1,60,2022-12-11 01:15:22.608583
19,active,42,2,0,1,1,168,4,168,False,1670720751,1,25,2022-12-11 01:15:22.608583
20,active,6,2,0,1,1,174,2,174,False,1670720707,1,27,2022-12-11 01:15:22.608583
21,active,40,0,0,1,1,195,6,195,False,1670721228,1,4,2022-12-11 01:15:22.608583
22,active,34,1,0,1,1,212,4,212,False,1670721579,1,23,2022-12-11 01:15:22.608583
23,active,9,1,0,1,1,216,3,216,False,1670721123,1,26,2022-12-11 01:15:22.608583
24,active,23,3,0,1,1,217,1,217,False,1670720703,1,13,2022-12-11 01:15:22.608583
25,active,40,4,0,1,1,223,6,223,False,1670721769,1,1,2022-12-11 01:15:22.608583
26,active,18,1,0,1,1,224,0,224,False,1670721531,1,14,2022-12-11 01:15:22.608583
27,active,29,0,0,1,1,228,2,228,False,1670721144,1,48,2022-12-11 01:15:22.608583
28,active,19,0,0,1,1,229,9,229,False,1670721772,1,3,2022-12-11 01:15:22.608583
29,active,39,3,1,1,1,232,1,232,False,1670721181,1,9,2022-12-11 01:15:22.608583
30,active,67,2,0,1,1,236,2,236,False,1670721915,1,3,2022-12-11 01:15:22.608583
31,active,20,3,0,1,1,238,4,238,False,1670721668,1,8,2022-12-11 01:15:22.608583
32,active,44,4,0,1,1,239,0,239,False,1670718797,1,14,2022-12-11 01:15:22.608583
33,active,7,1,0,1,1,241,4,241,False,1670720160,1,15,2022-12-11 01:15:22.608583
34,active,30,2,0,1,1,242,0,242,False,1670721913,1,14,2022-12-11 01:15:22.608583
35,active,15,0,6,1,1,244,2,244,False,1670720635,1,30,2022-12-11 01:15:22.608583
36,active,34,1,0,1,1,245,2,245,False,1670720045,1,21,2022-12-11 01:15:22.608583
37,active,72,3,0,1,1,247,4,247,False,1670721726,1,2,2022-12-11 01:15:22.608583
38,active,66,1,0,1,1,248,1,248,False,1670716509,1,19,2022-12-11 01:15:22.608583
39,active,25,1,0,1,1,249,7,249,False,1670716922,1,1,2022-12-11 01:15:22.608583
40,active,22,5,0,1,1,250,3,250,False,1670721798,1,13,2022-12-11 01:15:22.608583
41,active,11,2,0,1,1,251,0,251,False,1670721587,1,12,2022-12-11 01:15:22.608583
42,active,17,7,0,1,1,252,6,252,False,1670720818,1,8,2022-12-11 01:15:22.608583
43,active,40,1,0,0,0,254,15,254,False,1670721541,1,6,2022-12-11 01:15:22.608583
44,active,72,1,0,1,1,257,0,257,False,1670721818,1,6,2022-12-11 01:15:22.608583
45,active,5,1,0,1,1,258,1,258,False,1670721890,1,15,2022-12-11 01:15:22.608583
46,active,43,1,0,1,1,259,1,259,False,1670717128,1,9,2022-12-11 01:15:22.608583
47,active,48,0,0,1,1,260,3,260,False,1670721469,1,1,2022-12-11 01:15:22.608583
48,active,22,0,0,1,1,261,1,261,False,1670719193,1,19,2022-12-11 01:15:22.608583
49,active,3,1,0,1,1,262,1,262,False,1670721441,1,20,2022-12-11 01:15:22.608583
50,active,27,0,0,1,1,264,1,264,False,1670721330,1,2,2022-12-11 01:15:22.608583
51,active,29,4,0,1,1,265,19,265,False,1670721630,1,1,2022-12-11 01:15:22.608583
