,station_id,num_ebikes_available,num_bikes_available,num_docks_available,legacy_id,is_renting,last_reported,eightd_has_available_keys,is_installed,num_bikes_disabled,is_returning,num_docks_disabled,last_update,num_scooters_unavailable,num_scooters_available
0,1815967807827104584,0,0,0,1815967807827104584,0,86400,False,0,0,0,0,2023-08-13 01:00:06.482489,,
1,1828968883163894358,0,0,0,1828968883163894358,0,86400,False,0,0,0,0,2023-08-13 01:00:06.482489,,
2,1834145589124844432,0,0,0,1834145589124844432,0,86400,False,0,0,0,0,2023-08-13 01:00:06.482489,,
3,1835246937517543544,0,0,0,1835246937517543544,0,86400,False,0,0,0,0,2023-08-13 01:00:06.482489,,
4,1838071008881986168,0,0,0,1838071008881986168,0,86400,False,0,0,0,0,2023-08-13 01:00:06.482489,,
5,1835246658344669972,0,0,0,1835246658344669972,0,86400,False,0,0,0,0,2023-08-13 01:00:06.482489,,
6,1840540852548303628,0,0,0,1840540852548303628,0,86400,False,0,0,0,0,2023-08-13 01:00:06.482489,,
7,2c3ae1e9-00f4-480c-b095-4a3112db3594,0,0,0,5050,0,86400,False,0,0,0,0,2023-08-13 01:00:06.482489,,
8,1828967979464708718,0,0,0,1828967979464708718,0,86400,False,0,0,0,0,2023-08-13 01:00:06.482489,,
9,66dc3ab9-0aca-11e7-82f6-3863bb44ef7c,4,57,0,473,1,1691888953,False,1,7,1,0,2023-08-13 01:00:06.482489,0.0,0.0
10,66db76a1-0aca-11e7-82f6-3863bb44ef7c,1,25,34,317,1,1691888954,False,1,7,1,1,2023-08-13 01:00:06.482489,0.0,0.0
11,6542d952-ca19-410e-9290-ee6b7a6e14cf,1,19,0,4567,1,1691888954,False,1,1,1,0,2023-08-13 01:00:06.482489,0.0,0.0
12,566a6389-5c22-49ca-8c24-4d9eea135170,0,2,24,4393,1,1691888954,False,1,1,1,1,2023-08-13 01:00:06.482489,0.0,0.0
13,1814901062206225038,2,19,2,1814901062206225038,1,1691888960,False,1,0,1,0,2023-08-13 01:00:06.482489,0.0,0.0
14,b713367c-3572-4225-b74a-9319ab537838,3,10,8,4631,1,1691888958,False,1,0,1,1,2023-08-13 01:00:06.482489,0.0,0.0
15,66db447a-0aca-11e7-82f6-3863bb44ef7c,9,42,7,260,1,1691888958,False,1,0,1,0,2023-08-13 01:00:06.482489,0.0,0.0
16,66dc81ce-0aca-11e7-82f6-3863bb44ef7c,1,9,62,522,1,1691888958,False,1,2,1,0,2023-08-13 01:00:06.482489,0.0,0.0
17,1f8f6714-42a7-45d5-86cd-a093c940b2c9,0,9,14,4635,1,1691888958,False,1,2,1,0,2023-08-13 01:00:06.482489,0.0,0.0
18,54df610f-0e47-4958-98ca-37bb1b1c4dca,1,1,20,4013,1,1691888956,False,1,3,1,0,2023-08-13 01:00:06.482489,0.0,0.0
19,66dd1c7f-0aca-11e7-82f6-3863bb44ef7c,2,14,29,3108,1,1691888956,False,1,5,1,0,2023-08-13 01:00:06.482489,0.0,0.0
20,581bc4fe-cf14-4767-8377-6fa156ff8a29,4,16,1,3961,1,1691888956,False,1,2,1,0,2023-08-13 01:00:06.482489,0.0,0.0
21,3a89411a-0bc6-4ba3-bc56-fab950c8eba1,2,17,4,3770,1,1691888955,False,1,0,1,0,2023-08-13 01:00:06.482489,0.0,0.0
22,dccaeeb5-c53a-4f48-80e6-05675b71a8c8,2,22,2,3508,1,1691888958,False,1,5,1,1,2023-08-13 01:00:06.482489,0.0,0.0
23,66dc292c-0aca-11e7-82f6-3863bb44ef7c,11,23,26,465,1,1691888959,False,1,6,1,0,2023-08-13 01:00:06.482489,0.0,0.0
24,66de2707-0aca-11e7-82f6-3863bb44ef7c,5,7,22,3376,1,1691888959,False,1,3,1,9,2023-08-13 01:00:06.482489,0.0,0.0
25,66db9c2e-0aca-11e7-82f6-3863bb44ef7c,0,7,33,339,1,1691888959,False,1,1,1,1,2023-08-13 01:00:06.482489,0.0,0.0
26,92fc1ad7-0867-4655-b02f-ede65d336b14,2,8,7,4265,1,1691888957,False,1,4,1,0,2023-08-13 01:00:06.482489,0.0,0.0
27,66dd217d-0aca-11e7-82f6-3863bb44ef7c,1,15,9,3117,1,1691888957,False,1,3,1,0,2023-08-13 01:00:06.482489,0.0,0.0
28,66dc0f8a-0aca-11e7-82f6-3863bb44ef7c,1,54,0,428,1,1691888897,False,1,4,1,0,2023-08-13 01:00:06.482489,0.0,0.0
29,475c44e1-31e3-4c60-b071-af2ca3f7618c,1,2,17,4915,1,1691888897,False,1,2,1,1,2023-08-13 01:00:06.482489,0.0,0.0
30,493850bd-125b-49f5-932b-bf999504fb06,1,3,8,3978,1,1691888898,False,1,6,1,0,2023-08-13 01:00:06.482489,0.0,0.0
31,5145ad1c-241f-4448-a742-739bd5c518c2,3,19,0,4825,1,1691888900,False,1,0,1,0,2023-08-13 01:00:06.482489,0.0,0.0
32,ca843847-923a-40b7-80ca-c1c3fff6e818,1,3,16,4495,1,1691888902,False,1,1,1,0,2023-08-13 01:00:06.482489,0.0,0.0
33,1828965347681089818,1,14,5,1828965347681089818,1,1691888902,False,1,1,1,0,2023-08-13 01:00:06.482489,0.0,0.0
34,66de17f7-0aca-11e7-82f6-3863bb44ef7c,7,10,25,3350,1,1691888903,False,1,4,1,0,2023-08-13 01:00:06.482489,0.0,0.0
35,12279d2b-29f6-4e02-a7f0-244970f7edd5,7,10,15,3561,1,1691888901,False,1,0,1,1,2023-08-13 01:00:06.482489,0.0,0.0
36,1828965172312150882,1,20,2,1828965172312150882,1,1691888903,False,1,0,1,0,2023-08-13 01:00:06.482489,0.0,0.0
37,038b7369-9c6e-4eb2-8569-f7461443302f,2,9,11,4912,1,1691888900,False,1,0,1,0,2023-08-13 01:00:06.482489,0.0,0.0
38,ab6aadd8-fa45-43aa-abea-c8e01ec5a0c8,5,15,8,3757,1,1691888909,False,1,0,1,0,2023-08-13 01:00:06.482489,0.0,0.0
39,62f8f806-bd04-4282-9c5d-ad4293644e3c,1,9,8,4508,1,1691888909,False,1,4,1,0,2023-08-13 01:00:06.482489,0.0,0.0
40,66dc2995-0aca-11e7-82f6-3863bb44ef7c,2,5,26,466,1,1691888909,False,1,4,1,0,2023-08-13 01:00:06.482489,0.0,0.0
41,576abdc1-986e-48b0-bde2-051a13d3ff59,0,7,12,4772,1,1691888907,False,1,2,1,0,2023-08-13 01:00:06.482489,0.0,0.0
42,525535e3-dde3-47b4-9c2e-0174eaa4f2bb,0,3,16,4961,1,1691888905,False,1,2,1,0,2023-08-13 01:00:06.482489,0.0,0.0
43,1814906692908349788,2,14,6,1814906692908349788,1,1691888908,False,1,2,1,0,2023-08-13 01:00:06.482489,0.0,0.0
44,66dd17a5-0aca-11e7-82f6-3863bb44ef7c,3,43,6,3100,1,1691888908,False,1,2,1,0,2023-08-13 01:00:06.482489,0.0,0.0
45,d5cabb43-6c78-4022-964e-a8b02470509e,0,6,14,5028,1,1691888908,False,1,2,1,0,2023-08-13 01:00:06.482489,0.0,0.0
46,bc9c9006-3d40-400d-8b5c-17f56e6dfcee,1,1,21,4052,1,1691888912,False,1,5,1,0,2023-08-13 01:00:06.482489,0.0,0.0
47,66dbe96d-0aca-11e7-82f6-3863bb44ef7c,3,25,25,388,1,1691888912,False,1,1,1,0,2023-08-13 01:00:06.482489,0.0,0.0
48,41495491-5d89-4e14-aab9-c3db04aad399,0,4,12,4774,1,1691888913,False,1,3,1,0,2023-08-13 01:00:06.482489,0.0,0.0
49,66dd26f9-0aca-11e7-82f6-3863bb44ef7c,2,31,1,3127,1,1691888913,False,1,0,1,0,2023-08-13 01:00:06.482489,0.0,0.0
50,66dbe15d-0aca-11e7-82f6-3863bb44ef7c,2,23,0,372,1,1691888913,False,1,2,1,1,2023-08-13 01:00:06.482489,0.0,0.0
51,66de0861-0aca-11e7-82f6-3863bb44ef7c,3,4,22,3325,1,1691888914,False,1,3,1,1,2023-08-13 01:00:06.482489,0.0,0.0
52,a47f77a2-9008-4652-a4f1-b95eee723a1b,0,2,34,3712,1,1691888914,False,1,4,1,0,2023-08-13 01:00:06.482489,0.0,0.0
53,ebae0b66-e463-4ded-9b7a-43c0aca9b37a,2,15,5,3931,1,1691888914,False,1,2,1,0,2023-08-13 01:00:06.482489,0.0,0.0
