,num_docks_available,station_id,is_installed,num_bikes_available,is_returning,num_bikes_disabled,last_reported,num_ebikes_available,legacy_id,num_docks_disabled,is_renting,eightd_has_available_keys,last_update,num_scooters_available,num_scooters_unavailable
0,0,1828968883163894358,0,0,0,0,86400,0,1828968883163894358,0,0,False,2023-08-09 01:15:04.317376,,
1,0,1834145589124844432,0,0,0,0,86400,0,1834145589124844432,0,0,False,2023-08-09 01:15:04.317376,,
2,0,1835246937517543544,0,0,0,0,86400,0,1835246937517543544,0,0,False,2023-08-09 01:15:04.317376,,
3,0,1815967807827104584,0,0,0,0,86400,0,1815967807827104584,0,0,False,2023-08-09 01:15:04.317376,,
4,0,1838071008881986168,0,0,0,0,86400,0,1838071008881986168,0,0,False,2023-08-09 01:15:04.317376,,
5,0,1835246658344669972,0,0,0,0,86400,0,1835246658344669972,0,0,False,2023-08-09 01:15:04.317376,,
6,0,73f36547-e5a9-4039-bca7-a2ccdb78371c,0,0,0,0,86400,0,4738,0,0,False,2023-08-09 01:15:04.317376,,
7,0,1840540852548303628,0,0,0,0,86400,0,1840540852548303628,0,0,False,2023-08-09 01:15:04.317376,,
8,0,2c3ae1e9-00f4-480c-b095-4a3112db3594,0,0,0,0,86400,0,5050,0,0,False,2023-08-09 01:15:04.317376,,
9,0,7f4753d7-8d58-48bd-a881-de5bff08b27d,0,0,0,0,1690294244,0,4820,0,0,False,2023-08-09 01:15:04.317376,,
10,0,66de13dc-0aca-11e7-82f6-3863bb44ef7c,0,0,0,0,1690804933,0,3345,0,0,False,2023-08-09 01:15:04.317376,,
11,0,1828967979464708718,0,0,0,0,1691515585,0,1828967979464708718,0,0,False,2023-08-09 01:15:04.317376,,
12,0,37a37e5b-f975-4f92-a897-dca8e4670631,0,0,0,0,1689258074,0,4313,0,0,False,2023-08-09 01:15:04.317376,,
13,3,c00ef46d-fcde-48e2-afbd-0fb595fe3fa7,1,0,0,0,1689772144,0,4748,0,0,False,2023-08-09 01:15:04.317376,,
14,0,1d3a8670-09b3-4127-b750-af5311e565f0,0,0,0,0,1689775581,0,4168,0,0,False,2023-08-09 01:15:04.317376,,
15,1,1794852638057746848,1,20,1,0,1691544040,1,1794852638057746848,0,1,False,2023-08-09 01:15:04.317376,0.0,0.0
16,15,1f088432-0460-421e-a1d9-36890fa5396d,1,2,1,1,1691544037,1,4142,0,1,False,2023-08-09 01:15:04.317376,0.0,0.0
17,2,66dcbac5-0aca-11e7-82f6-3863bb44ef7c,1,14,1,2,1691544046,1,3043,0,1,False,2023-08-09 01:15:04.317376,0.0,0.0
18,20,ceb179f3-89c3-4c3e-8a0a-3415406a9463,1,0,1,3,1691544046,0,4067,0,1,False,2023-08-09 01:15:04.317376,0.0,0.0
19,4,38af3d1a-9916-46cf-b22e-86fc8648bf30,1,15,1,1,1691544047,4,4094,0,1,False,2023-08-09 01:15:04.317376,0.0,0.0
20,19,1817822909864556798,1,7,1,1,1691544047,1,1817822909864556798,0,1,False,2023-08-09 01:15:04.317376,0.0,0.0
21,0,765ee572-6c7a-4ed3-a2d4-f1496ea53996,1,20,1,3,1691544043,2,4550,0,1,False,2023-08-09 01:15:04.317376,0.0,0.0
